2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
40,29,24,47,28,36,62,47,23,42,24,23,56,29
46,24,26,30,39,26,37,31,35,29,40,28,36,29
23,27,27,39,53,31,35,31,32,39,58,37,36,28
39,30,31,26,23,27,34,25,48,23,39,23,37,29
26,30,24,44,25,21,33,24,32,33,39,26,27,46
39,40,29,39,36,44,38,31,25,32,29,48,38,23
32,29,35,17,25,43,38,25,30,21,38,40,28,31
35,26,36,43,31,31,44,35,33,23,36,38,30,28
17,37,20,38,41,44,29,35,22,30,31,33,33,27
30,26,44,26,37,30,24,34,52,33,42,36,43,33
33,27,36,24,41,32,24,33,38,22,27,43,56,43
26,24,25,25,28,40,24,33,22,24,33,43,36,31
31,18,25,21,28,24,38,29,39,28,24,41,32,27
24,49,40,23,24,32,44,33,31,36,24,40,29,32
27,26,30,25,34,35,28,33,41,48,24,28,43,40
48,23,25,18,55,24,30,26,18,39,36,29,34,45
41,24,34,28,26,45,26,22,28,40,23,31,24,52
23,25,32,32,26,45,30,24,30,27,30,32,22,28
42,38,23,48,36,27,28,23,24,40,37,39,32,28
32,39,25,33,28,27,28,26,24,26,36,47,29,37
23,43,30,36,33,26,24,45,45,39,,46,35,41
31,29,35,51,27,32,28,26,24,39,57,40,45,36
46,31,41,26,43,33,32,28,32,42,25,23,39,35
28,23,48,38,25,44,27,28,31,35,34,26,31,37
27,32,34,26,62,52,29,23,24,31,47,30,31,40
27,26,33,31,22,26,20,36,24,49,38,23,32,27
27,31,30,28,26,20,19,30,36,43,28,25,41,33
39,28,29,31,41,37,36,39,32,41,23,42,40,34
36,31,26,47,28,27,26,40,36,25,24,41,38,40
44,52,31,54,30,24,30,39,24,36,29,38,31,36
26,26,24,23,35,29,35,39,32,37,37,23,42,38
23,39,26,29,33,25,41,24,35,34,45,29,51,25
27,26,45,37,28,31,32,27,25,41,35,33,39,31
28,31,32,39,40,46,28,39,37,42,37,43,25,36
26,25,22,27,29,38,26,33,30,22,28,32,29,36
24,27,37,26,50,21,42,23,38,28,58,38,33,29
56,27,40,25,30,29,37,25,37,55,35,23,31,24
50,28,29,23,32,31,23,28,24,44,38,53,41,33
34,32,24,27,57,29,27,25,28,50,33,29,41,30
30,34,29,24,26,38,26,40,52,38,30,33,40,34
32,36,37,25,33,28,27,26,40,33,23,35,42,33
38,55,37,43,37,49,35,23,29,32,38,54,43,23
37,29,26,44,33,34,27,38,48,44,26,31,31,24
28,22,36,24,29,31,33,22,34,28,39,39,25,30
41,37,57,23,41,31,27,29,37,43,27,37,22,29
38,41,26,37,36,41,28,30,27,34,44,45,56,28
22,26,25,27,34,38,28,40,57,43,37,57,36,55
35,51,27,36,24,25,27,29,23,38,42,28,37,22
26,24,26,23,39,24,32,33,54,35,25,29,29,39
33,45,24,29,29,24,23,35,27,31,35,37,29,36
24,45,26,24,25,24,46,22,25,53,30,21,27,25
27,48,24,31,27,50,27,25,29,40,24,39,37,36
35,30,28,38,24,37,40,50,35,38,33,38,39,24
28,25,25,41,29,35,32,29,26,33,33,35,25,32
33,40,26,33,38,35,22,36,38,30,36,28,55,48
37,31,39,56,25,36,51,27,30,24,24,44,28,31
35,32,25,27,24,43,28,39,38,47,40,38,24,35
26,30,49,39,29,39,35,44,34,24,65,20,35,53
25,44,30,27,29,33,30,35,43,37,34,29,49,36
37,28,28,44,30,32,31,40,49,36,42,37,22,37
34,28,28,26,28,39,23,37,28,31,26,36,23,30
21,32,24,33,42,31,23,41,29,53,23,31,32,34
24,27,29,44,39,28,45,30,42,44,38,48,41,34
30,31,31,26,40,26,31,24,38,41,28,32,41,29
43,32,28,30,31,23,27,35,33,41,26,38,43,27
29,37,33,35,44,33,29,25,38,27,24,27,28,37
36,25,44,28,39,32,39,30,28,27,47,40,25,54
25,40,29,39,36,52,16,32,55,23,34,40,26,26
39,30,25,43,40,24,27,35,26,36,28,51,33,29
33,32,45,29,30,31,38,22,30,25,44,23,30,47
23,24,32,39,31,41,27,40,38,32,39,64,20,36
31,33,23,24,27,25,44,24,33,21,30,55,37,37
36,26,43,47,36,29,47,27,24,30,32,33,29,26
24,55,46,22,28,36,27,15,28,43,40,24,45,34
37,25,22,42,20,32,39,24,55,34,27,40,30,34
29,31,34,28,35,43,24,47,37,38,27,27,34,38
25,27,35,43,38,27,34,43,41,22,42,22,29,27
42,24,31,33,26,29,26,36,24,39,53,23,35,29
27,29,42,29,27,26,32,26,39,29,38,38,26,29
31,28,25,28,24,31,29,29,19,25,25,36,29,23
32,27,47,28,43,30,19,32,22,32,29,22,42,36
38,26,34,37,27,29,33,35,26,24,34,26,32,34
46,30,18,25,23,36,39,28,32,23,31,40,36,39
37,25,48,33,26,44,27,26,35,33,42,36,40,31
46,34,27,26,25,31,32,36,26,28,32,40,33,24
41,41,32,39,42,33,39,35,23,23,50,42,25,31
37,23,18,36,34,42,34,39,39,32,32,27,31,41
24,40,29,26,41,35,47,32,45,39,55,26,43,48
25,48,23,37,28,22,45,24,39,33,27,18,38,39
46,32,49,30,46,23,30,41,25,27,39,24,35,36
35,51,38,25,46,26,26,25,38,28,40,33,24,30
39,40,38,22,39,50,30,26,19,59,31,28,30,39
24,56,29,56,41,21,25,42,36,58,44,23,29,28
48,24,26,39,27,25,36,24,27,25,38,37,31,25
30,25,26,23,25,32,23,23,26,29,30,32,52,40
31,26,39,30,39,31,22,37,30,41,41,29,25,24
25,42,30,24,23,,41,58,38,51,44,23,30,40
44,47,26,29,23,24,42,40,60,38,44,35,34,24
27,28,49,23,20,38,36,27,31,27,30,23,28,43
36,25,40,56,32,25,38,29,40,27,39,31,36,33
25,49,35,24,25,37,36,26,27,31,28,38,42,28
44,36,30,25,37,36,23,53,28,45,27,32,40,24
22,37,28,28,32,38,33,40,28,23,32,24,49,41
43,32,44,28,28,30,37,35,36,28,49,32,27,51
28,26,26,25,29,29,26,42,48,33,25,29,36,27
31,19,34,35,24,47,39,44,20,39,27,40,31,37
27,29,28,32,31,48,32,25,26,32,46,37,38,55
29,25,25,27,26,54,36,23,39,43,33,27,39,36
23,51,26,36,28,24,28,29,35,56,32,30,33,28
45,23,49,31,27,28,30,25,27,32,31,35,27,29
28,26,24,23,28,26,35,41,33,34,23,23,54,49
26,36,36,24,37,24,24,26,40,31,42,33,39,36
28,24,19,36,22,27,31,43,28,46,31,40,23,33
33,29,40,50,56,29,30,30,39,38,36,24,36,32
25,23,34,26,24,24,35,46,28,37,27,32,47,44
23,26,50,54,33,27,22,25,45,36,36,38,36,29
27,25,49,37,27,20,26,45,35,38,35,29,50,38
27,31,26,24,28,22,33,24,44,44,43,57,32,29
34,26,33,28,22,28,24,29,23,38,30,38,53,27
44,34,32,27,38,24,36,31,32,51,45,31,45,29
37,27,25,34,51,37,35,42,23,40,27,25,22,22
38,42,28,29,29,27,27,29,44,36,33,33,43,40
43,24,21,26,28,41,36,35,38,32,45,46,32,26
37,33,24,28,17,27,31,24,41,28,35,26,29,28
28,30,25,35,37,23,41,26,26,34,38,39,18,37
22,29,33,23,41,34,35,23,26,42,26,57,35,29
19,36,19,28,31,33,35,45,37,22,58,27,45,33
30,26,33,29,27,26,40,25,26,24,26,43,29,49
23,30,30,28,30,34,45,43,32,26,25,42,41,24
44,39,31,28,43,25,47,32,38,32,38,37,37,30
35,46,29,26,28,28,24,34,47,29,38,41,35,23
25,29,24,31,23,32,24,31,32,23,26,26,25,24
43,38,26,31,26,39,25,42,27,29,42,53,42,33
29,37,32,41,25,20,43,27,40,23,24,50,38,35
42,41,36,44,26,36,32,31,44,35,24,47,40,24
51,38,27,26,53,29,25,23,30,29,31,38,44,41
31,27,28,24,26,25,36,43,21,32,23,46,35,28
34,25,29,28,43,16,24,24,39,27,32,42,23,54
39,28,24,31,36,33,43,27,29,41,31,45,31,32
38,31,21,40,37,33,26,26,24,18,28,36,33,27
33,56,26,37,33,36,54,25,39,37,39,30,39,35
35,55,29,25,23,24,29,26,22,30,22,23,28,24
23,43,26,23,29,48,22,18,35,28,46,25,26,26
58,25,22,33,36,33,25,37,40,35,29,45,25,33
41,50,29,23,39,36,23,30,21,35,34,37,36,38
29,24,30,31,45,15,23,31,35,38,29,30,30,38
45,38,32,35,24,37,28,40,55,56,24,39,23,21
27,31,14,39,32,42,28,30,25,50,35,26,31,30
42,37,33,29,28,32,58,25,27,28,24,36,32,48
38,27,23,19,28,26,45,42,23,30,33,35,26,28
38,28,49,27,41,45,30,47,23,24,27,49,28,44
33,28,32,21,22,33,25,41,24,38,39,40,29,25
24,42,30,25,37,25,28,30,24,31,37,29,29,30
36,29,22,29,30,43,60,35,35,46,21,39,50,39
45,38,34,27,25,24,23,29,34,31,39,51,50,24
48,25,41,33,34,37,29,33,29,34,23,28,27,40
50,31,30,28,42,26,32,41,34,62,26,31,49,32
36,45,23,35,24,26,42,37,42,36,29,42,39,28
34,28,31,21,27,35,22,40,35,26,52,41,32,40
49,30,48,26,29,31,25,42,40,37,34,38,40,47
25,23,25,26,38,23,27,32,40,68,26,23,31,25
25,23,36,23,32,27,35,21,43,29,26,44,37,33
33,29,31,25,35,28,28,48,26,30,30,26,36,39
28,32,33,45,25,28,32,27,30,54,35,24,34,48
29,30,27,27,22,24,24,27,35,31,31,26,31,37
25,40,46,25,33,39,24,28,33,29,22,30,28,18
28,47,24,29,26,41,32,27,27,32,27,48,37,49
38,42,44,37,26,56,40,25,26,24,49,31,57,28
25,50,33,27,36,24,28,44,52,33,40,45,28,32
31,25,36,25,27,26,23,23,33,38,28,18,35,21
52,29,39,23,39,33,34,31,28,34,39,54,34,31
24,31,42,49,35,27,22,36,32,35,44,44,39,51
21,22,35,29,30,23,43,31,28,41,28,33,42,32
30,36,33,44,27,37,39,42,44,30,41,38,33,24
45,33,41,22,27,26,28,40,25,40,33,37,36,26
25,30,48,31,34,25,24,35,41,31,27,35,30,35
40,58,30,29,34,59,36,24,45,39,25,30,38,28
25,31,32,30,23,42,28,23,25,32,29,31,36,34
21,25,28,47,29,24,25,35,29,59,27,31,22,42
27,31,31,26,33,29,28,37,28,28,34,24,25,36
28,33,27,44,59,39,41,24,27,40,40,32,43,34
24,27,39,40,33,27,16,29,44,40,30,44,33,33
45,31,27,27,44,30,36,27,38,34,29,38,28,43
39,27,22,49,61,27,27,42,22,25,32,39,45,31
26,27,33,60,31,32,41,31,49,57,25,46,34,41
33,34,42,25,57,36,30,50,31,34,35,40,30,50
30,27,26,23,27,42,29,32,24,24,35,32,38,24
33,33,29,40,28,43,34,29,33,42,39,32,35,48
30,40,33,23,36,29,30,47,33,36,41,23,38,30
27,23,52,24,30,26,24,27,31,40,37,28,21,28
23,30,31,25,29,40,25,28,31,32,24,16,32,38
27,26,29,34,28,25,32,48,47,38,41,41,50,29
33,37,26,26,32,27,25,55,45,28,27,38,43,35
35,28,26,27,27,27,40,48,38,26,28,42,40,30
32,46,30,42,28,32,30,22,36,36,35,36,33,43
29,16,27,26,24,42,35,23,30,25,31,40,25,49
30,35,37,30,27,25,24,35,23,50,35,26,24,35
